employee_id,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,performance_rating
1,4,2,1,1,3
2,2,3,4,3,4
4,3,4,2,3,3
5,3,4,3,3,3
7,2,1,4,3,3
8,4,4,3,2,3
10,1,3,1,2,4
11,3,4,2,3,4
12,3,4,2,3,4
13,3,3,2,2,3
14,2,1,3,3,3
15,3,4,4,3,3
16,3,1,4,2,3
18,4,2,3,3,3
19,3,3,2,3,3
20,1,2,3,3,3
21,2,1,4,2,3
22,4,4,2,2,3
23,4,1,3,3,3
24,4,4,3,3,3
26,3,1,4,2,3
27,1,3,2,3,4
28,2,1,3,3,3
30,4,3,4,3,3
31,1,2,3,3,3
32,3,3,4,2,3
33,1,2,2,3,4
35,2,3,4,3,3
36,4,1,4,3,3
38,1,2,4,2,3
39,4,3,4,3,3
40,4,4,4,4,3
41,3,4,1,3,3
42,4,4,3,4,3
45,4,2,1,2,3
46,3,4,4,2,3
47,3,1,3,3,3
49,4,4,1,3,3
51,1,2,4,4,3
52,1,3,1,3,3
53,4,3,3,3,3
54,1,4,4,3,3
55,3,1,3,2,3
56,3,4,4,3,3
57,4,3,4,3,4
58,3,2,4,3,3
60,3,2,3,3,4
61,2,2,1,3,4
62,4,1,3,3,4
63,4,4,4,3,3
64,3,1,4,3,3
65,3,3,3,2,3
68,1,2,3,2,4
70,1,3,3,3,3
72,4,3,3,2,3
73,4,1,3,3,3
74,1,2,4,2,4
75,1,3,3,3,3
76,4,4,4,2,4
77,3,1,3,4,3
78,4,1,2,3,4
79,4,4,4,3,3
80,3,2,4,2,3
81,1,1,4,2,3
83,3,3,2,3,3
84,3,4,3,3,3
85,2,2,3,3,3
86,1,2,3,3,3
88,1,2,4,2,3
90,3,4,1,2,3
91,3,1,4,2,3
94,2,3,4,3,4
95,2,3,2,3,3
96,2,2,2,3,3
97,4,2,2,3,3
98,4,3,4,3,4
100,1,3,2,3,3
101,1,4,2,4,3
102,3,1,1,4,3
103,2,2,4,3,4
104,4,4,3,2,3
105,3,2,1,3,3
106,4,1,4,3,3
107,4,2,4,3,3
110,2,1,3,3,3
112,4,4,1,2,3
113,1,3,3,3,3
